Gen,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,Max
162,1663,2774,1339,2371,381,2653,584,1118,1954,2825,1942,1230,1536,2037,823,2100,2312,112,-124,133,409,1563,1174,14,1018,930,259,1135,625,-124,593,-178,-119,1758,507,-104,1713,200,1090,1405,357,-63,36,2052,-84,34,93,1112,2480,-104,2825
163,1499,968,361,2701,1684,1860,2110,1627,2137,1122,2394,2242,1644,2178,4656,604,389,841,312,2898,119,999,1906,1905,-64,3677,1842,1918,912,1519,1568,3079,920,1511,1298,1499,1263,1009,-69,3025,1187,252,967,2133,31,1654,984,-124,1851,-32,4656
164,2626,1696,1003,2361,1036,1003,2213,979,1633,2332,1903,1591,3629,1189,2308,3016,873,1060,1531,560,614,-114,1288,66,1140,1254,2158,243,1985,1961,359,2607,519,-74,484,-119,1952,949,-74,1131,498,512,1497,-119,861,779,2506,2666,2056,1509,3629
165,1139,1514,1549,1934,2356,200,892,312,317,1612,955,1571,3528,872,1108,302,873,944,891,3100,425,184,788,2255,-84,2476,1018,-94,136,3190,1303,1000,1893,4,1134,438,21,1514,2638,-119,1217,632,1686,-116,-121,126,1970,1663,1047,1169,3528
166,2680,2490,115,1094,1799,2853,1384,3524,56,832,1134,1749,898,973,1317,621,600,995,1074,367,1689,863,2219,1012,747,896,21,2689,765,692,159,348,3657,3755,86,-16,2035,1686,1628,964,1377,-90,512,976,1649,102,3012,-102,2267,1695,3755
167,1454,2625,1926,1421,1384,3168,1575,1631,2501,-79,2248,3378,978,1636,1234,1507,-163,-109,-208,152,486,2016,2261,1176,-119,889,1768,-152,140,264,589,1922,-64,1346,-124,1284,1681,-97,2608,2438,112,2633,1986,3949,-158,143,1017,1344,425,252,3949
168,2121,1515,2221,1053,2015,1507,2310,1782,1361,2622,1084,866,1085,498,1615,3359,2066,877,82,1222,1189,781,1195,1361,163,1123,2288,-104,16,851,1158,941,-124,1734,-94,1992,1629,1784,1261,1991,209,782,-84,1773,1489,2397,1068,3447,133,1195,3447
169,1266,1869,1206,2105,1942,1627,2927,2574,2411,983,2374,3016,887,1704,1782,1077,1782,666,879,452,1890,307,-104,2740,135,-124,1125,457,2737,2248,1181,3101,2870,-119,341,1077,1015,118,1668,3940,24,2019,2258,349,1865,914,14,758,1165,1002,3940
170,1653,2203,673,888,1400,964,1200,941,1376,1587,257,1251,1199,1472,1414,2057,1153,2427,384,264,404,399,887,2948,884,2245,641,1221,120,1910,595,1883,561,-132,-124,1567,-65,2270,292,2015,593,159,939,312,741,1105,1578,1635,872,1896,2948
171,1798,1261,2019,699,1471,506,1694,1628,1334,1867,2466,2627,1478,1088,2972,1482,-213,1373,-49,3466,1202,635,19,-9,1456,1806,1121,1319,1177,1683,57,112,1653,144,3632,1377,2123,227,1553,761,1361,883,2437,1798,1934,149,1992,247,-114,181,3632
